Title,Locations,Price,Square feet area,Status,Bathrooms
3 BHK Independent Floor,Battarahalli, 23500 ,2200 ,Semi-Furnished,3 bathrooms
2 BHK Independent House,Attiguppe, 16500 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Electronics City, 8500 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Rajajinagar, 14000 ,1200 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Hennur, 16000 ,700 ,Semi-Furnished,2 bathrooms
1 BHK Apartment in Arun Patios,Yelahanka, 11000 ,730 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Hoodi, 12000 ,500 ,Furnished,1 bathrooms
2 BHK Apartment,CV Raman Nagar, 20000 ,960 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Byrathi, 20000 ,1100 ,Unfurnished,2 bathrooms
2 BHK Independent House,Choodasandra, 13000 ,1500 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Kumaraswamy Layout, 6000 ,900 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Krishnarajapura, 9000 ,664 ,Unfurnished,2 bathrooms
4 BHK Independent Floor,Hennur, 24000 ,1528 ,Semi-Furnished,3 bathrooms
2 BHK Independent House,Banashankari, 12000 ,1050 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Munnekollal, 6000 ,180 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,J. P. Nagar, 12000 ,800 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Sir M V Nagar, 12000 ,890 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Whitefield, 18000 ,1077 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Kristal Citrine,Krishnarajapura, 19500 ,1342 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,R.K. Hegde Nagar, 16000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Kumbalgodu, 8000 ,675 ,Furnished,[]
1 BHK Apartment,Ramamurthy Nagar, 8000 ,550 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Kaval Byrasandra, 14500 ,1600 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Begur, 12000 ,600 ,Furnished,2 bathrooms
2 BHK Independent House,NRI Layout, 12000 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Horamavu, 7800 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Kudlu, 4000 ,350 ,Unfurnished,1 bathrooms
1 BHK Apartment,Bilekahalli, 20000 ,415 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Uttarahalli Hobli, 13500 ,1135 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,KHB Layout, 10000 ,700 ,Unfurnished,[]
1 BHK Independent Floor,Electronic City Phase II, 9500 ,450 ,Semi-Furnished,1 bathrooms
2 BHK Independent House in White County,Jigani, 17000 ,950 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,HSR Layout, 15000 ,700 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Narayanapura Hennur Main Road, 20000 ,750 ,Furnished,1 bathrooms
1 BHK Apartment,BTM Layout 2nd Stage, 8000 ,500 ,Unfurnished,1 bathrooms
1 BHK Apartment,Hebbal, 8500 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Akshayanagar, 15000 ,800 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,J. P. Nagar, 12000 ,900 ,Unfurnished,2 bathrooms
2 BHK Apartment,Hebbal, 13500 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Whitefield, 9500 ,550 ,Semi-Furnished,1 bathrooms
3 BHK Independent House,Nagavara, 25000 ,1300 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,R T  Nagar, 11000 ,750 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Horamavu, 23000 ,1300 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Electronic City Phase II, 8000 ,350 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Electronic City Phase II, 11000 ,800 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Bommanahalli, 7000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Arakere, 16000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Gottigere, 8500 ,925 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,K Channasandra, 13000 ,800 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Byrathi, 15000 ,900 ,Unfurnished,1 bathrooms
1 BHK Independent House,Hennur, 13000 ,950 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in SLV Garuda Palace,Jakkur, 22000 ,1475 ,Unfurnished,2 bathrooms
1 BHK Independent Floor,Kudlu, 6000 ,500 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Maruthi Sevanagar, 10000 ,450 ,Furnished,1 bathrooms
1 RK Studio Apartment,Sanjay Nagar, 6500 ,200 ,Semi-Furnished,1 bathrooms
2 BHK Apartment in MGK Lakshmi Vihara,Gottigere, 10500 ,1185 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Margondanahalli, 10000 ,900 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Vijayanagar, 14000 ,800 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Lingarajapuram, 12500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Agrahara Layout, 6500 ,400 ,Unfurnished,1 bathrooms
2 BHK Apartment,Seegehalli Magadi Road, 16000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,R T  Nagar, 20000 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,Whitefield, 14000 ,1800 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Nagasandra, 7000 ,900 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Doddathoguru, 8500 ,150 ,Furnished,1 bathrooms
1 BHK Independent Floor,J. P. Nagar, 9000 ,850 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,K Channasandra, 6500 ,650 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Vijayanagar, 39999 ,1500 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,Kacharakanahalli Hennur Main Road, 11500 ,610 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Horamavu, 18000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,RR Nagar, 22000 ,1050 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Kadugodi Industrial Area, 11000 ,700 ,Unfurnished,1 bathrooms
2 BHK Apartment,Kadugodi Industrial Area, 11000 ,700 ,Unfurnished,1 bathrooms
2 BHK Independent Floor,Kengeri Satellite Town, 12000 ,900 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Malleswaram, 24000 ,900 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Vidyaranyapura, 18000 ,2400 ,Semi-Furnished,[]
1 RK Studio Apartment,Sir M V Nagar, 8000 ,300 ,Furnished,1 bathrooms
2 BHK Independent Floor,Kengeri Satellite Town, 12500 ,2400 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Banashankari, 13000 ,800 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Nagavara, 15000 ,700 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Margondanahalli, 7500 ,600 ,Unfurnished,1 bathrooms
1 BHK Independent Floor,Margondanahalli, 7500 ,600 ,Unfurnished,1 bathrooms
1 BHK Independent Floor,Margondanahalli, 7500 ,600 ,Unfurnished,1 bathrooms
2 BHK Apartment,Chandapura, 10000 ,796 ,Unfurnished,2 bathrooms
3 BHK Apartment,Annapurneshwari Nagar, 18000 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,RR Nagar, 7000 ,1200 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Bodanahosahalli, 6000 ,450 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Whitefield, 8500 ,800 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Annapurneshwari Nagar, 22000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,RMV Extension Stage 2, 11500 ,1200 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,BTM Layout, 11000 ,210 ,Furnished,1 bathrooms
1 RK Studio Apartment,J. P. Nagar, 8000 ,250 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Benson Town, 10500 ,435 ,Furnished,1 bathrooms
3 BHK Apartment in BM Harvest,Sarjapur, 18000 ,1257 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Kadubeesanahalli, 25000 ,300 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Maruthi Sevanagar, 30000 ,1800 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,HSR Layout, 10000 ,400 ,Semi-Furnished,[]
2 BHK Independent House,Kaveri Nagar, 9500 ,700 ,Semi-Furnished,[]
1 BHK Independent House,hongasandra bangalore, 6000 ,400 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Margondanahalli, 18000 ,1200 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Margondanahalli, 10000 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Kalkere, 15500 ,850 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in BM Harvest,Sarjapur, 18000 ,1257 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Ukay UK Namma Mane,Kengeri, 9000 ,705 ,Furnished,2 bathrooms
1 BHK Independent House,Vidyaranyapura, 7000 ,800 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Electronics City, 4400 ,160 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Vidyaranyapura, 10000 ,1000 ,Semi-Furnished,1 bathrooms
2 BHK Independent House in Panchamukhi Enclave,Immadihalli, 11900 ,850 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Suggatta, 9500 ,650 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Valmark Regency Pinnacle Heights,Thanisandra, 25500 ,1386 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Abbigere, 6500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Wilson Garden, 18600 ,600 ,Furnished,1 bathrooms
2 BHK Independent House,Benson Town, 14000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,HSR Layout, 25000 ,900 ,Semi-Furnished,1 bathrooms
2 BHK Apartment in DS Max DSMAX STARWOOD,Hesaraghatta, 12000 ,1081 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Bommanahalli, 8000 ,400 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Singasandra, 7500 ,600 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,New Thippasandra, 8000 ,220 ,Furnished,1 bathrooms
2 BHK Apartment,Yelahanka, 15500 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,Whitefield, 6800 ,450 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Margondanahalli, 13000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Margondanahalli, 13000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Gnana bharathi, 16000 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Independent House,Whitefield, 9000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Kasavanahalli, 14000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Electronics City, 7000 ,700 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Electronic City Phase II, 4400 ,150 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Sunkadakatte, 4000 ,810 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Kasavanahalli, 10000 ,400 ,Furnished,1 bathrooms
1 BHK Independent House,CV Raman Nagar, 9000 ,425 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Marathahalli, 11000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Electronic City Phase II, 8000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Electronic City Phase II, 11000 ,750 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,Marathahalli, 9000 ,250 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Krishnarajapura, 8000 ,800 ,Semi-Furnished,1 bathrooms
1 BHK Independent House,Krishnarajapura, 8000 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent House,Krishnarajapura, 11000 ,800 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in DLF Woodland Heights at My Town,Jigani, 20000 ,1500 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Singanayakanahalli, 8500 ,800 ,Unfurnished,1 bathrooms
2 BHK Independent Floor,Jyotipuram, 11000 ,800 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Jayanagar, 14000 ,590 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Whitefield, 6500 ,800 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Horamavu, 18000 ,1100 ,Semi-Furnished,2 bathrooms
