Title,Locations,Price,Square feet area,Status,Bathrooms
2 BHK Independent House,Koramangala, 40000 ,1200 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout, 9000 ,700 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,BTM Layout, 16000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout, 22000 ,1250 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 12000 ,650 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 15000 ,750 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Patel Smondo 3,Electronic City Phase 1, 24000 ,1100 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in DSR White Waters II,Carmelaram, 31000 ,1500 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,BTM Layout, 13000 ,700 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Hulimavu, 24000 ,1400 ,Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 10500 ,700 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,BTM Layout, 6000 ,250 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,BTM Layout, 23000 ,1600 ,Semi-Furnished,3 bathrooms
3 BHK Independent House,BTM Layout 2nd Stage, 38001 ,2400 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,BTM Layout, 14000 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout, 13000 ,820 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,BTM Layout 2nd Stage, 18500 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout 2nd Stage, 16000 ,950 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Bommanahalli, 25000 ,1800 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in Mahendra Elena 5,Electronic City Phase 1, 50000 ,2400 ,Furnished,4 bathrooms
2 BHK Apartment in Vijetha Elysium,Varthur, 25000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Prestige Misty Waters,Hebbal, 31000 ,1205 ,Semi-Furnished,2 bathrooms
4 BHK Apartment in Prestige Shantiniketan,Whitefield Hope Farm Junction, 1.5 L,3900 ,Semi-Furnished,4 bathrooms
4 BHK Villa in Prestige Laughing Waters,Whitefield Hope Farm Junction, 1.3 L,4000 ,Semi-Furnished,4 bathrooms
2 BHK Independent House,Hosakerehalli, 18000 ,700 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Hosakerehalli, 18000 ,700 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Hosakerehalli, 18000 ,700 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Visalakshi Sansita Pride,Narayanapura on Hennur Main Road, 30000 ,1540 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Puravankara Palm Beach,Narayanapura on Hennur Main Road, 45000 ,1200 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Patel Smondo 3,Electronic City Phase 1, 30000 ,1270 ,Semi-Furnished,3 bathrooms
2 BHK Apartment,Ramamurthy Nagar, 25000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Godrej Air,Hoodi, 50000 ,1000 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Godrej Air Nxt,ITPL, 50000 ,1350 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Valmark Abodh,Nagawara, 35000 ,1310 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Pavani Chandana,Electronic City Phase 2, 25000 ,1300 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Hiranandani Queensgate,Begur, 32000 ,1100 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Hennur, 42000 ,1800 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in AWHO Sandeep Vihar,Kannamangala, 65000 ,4100 ,Semi-Furnished,4 bathrooms
2 BHK Independent House in BCD CODENAME BCD North Star,Devanahalli, 14000 ,1150 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Krishnarajapura, 28000 ,1100 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Sobha Indraprastha,Rajajinagar, 1.25 L,2700 ,Furnished,3 bathrooms
2 BHK Independent Floor,J. P. Nagar, 18500 ,1200 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout, 8500 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,BTM Layout, 8500 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,BTM Layout, 20000 ,1310 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout, 20000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,BTM Layout, 20000 ,1450 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,HSR Layout, 90000 ,3700 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,HSR Layout, 90000 ,3700 ,Semi-Furnished,3 bathrooms
3 BHK Independent Floor,BTM Layout 2nd Stage, 27000 ,1800 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 13600 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 14000 ,650 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,BTM Layout 2nd Stage, 13500 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Bilekahalli, 23000 ,1400 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,BTM Layout, 15000 ,800 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,BTM Layout 2nd Stage, 25000 ,1650 ,Semi-Furnished,3 bathrooms
3 BHK Independent Floor,Bommanahalli, 22000 ,1500 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout 2nd Stage, 14000 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout, 11000 ,700 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,BTM Layout 2nd Stage, 20000 ,1280 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout, 21000 ,1350 ,Semi-Furnished,2 bathrooms
1 RK Studio Apartment,BTM Layout, 6500 ,500 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,BTM Layout, 13000 ,850 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,BTM Layout 2nd Stage, 18500 ,950 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,BTM Layout, 15000 ,1000 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Bommanahalli, 23000 ,1700 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout, 16000 ,1201 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Koramangala, 26000 ,650 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Koramangala, 21000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Cooke Town, 20000 ,1050 ,Semi-Furnished,2 bathrooms
4 BHK Apartment in Gopalan Gardenia,Electronic City Phase 2, 60000 ,2400 ,Semi-Furnished,4 bathrooms
3 BHK Apartment,Ejipura, 85000 ,2400 ,Furnished,3 bathrooms
5 BHK Independent House,Nagavara, 32000 ,2500 ,Semi-Furnished,5 bathrooms
4 BHK Villa in Prestige Laughing Waters,Whitefield Hope Farm Junction, 1 L,4500 ,Semi-Furnished,4 bathrooms
3 BHK Apartment in Saibya Senary,Harlur, 35000 ,1400 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Goel Ganga Vertica,Electronic City Phase 1, 45000 ,1600 ,Semi-Furnished,3 bathrooms
1 BHK Independent House,Mathikere, 12000 ,700 ,Furnished,1 bathrooms
1 BHK Apartment in Prestige Royale Gardens,Yelahanka, 17000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Krishnarajapura, 25000 ,1100 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Koramangala, 60000 ,1800 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Koramangala, 22000 ,758 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Sattva Symphony,Begur, 35000 ,1500 ,Semi-Furnished,3 bathrooms
4 BHK Villa in Skanda Avani C99,Carmelaram, 85000 ,3000 ,Semi-Furnished,4 bathrooms
3 BHK Apartment,Begur, 45000 ,1500 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Sattva Symphony,Begur, 25000 ,1550 ,Furnished,3 bathrooms
3 BHK Apartment in Reputed Builder BM Royal Orchid,HSR Layout, 85000 ,2000 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Godrej Air,Hoodi, 48000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Godrej Air Nxt,ITPL, 50000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Brigade 7 Gardens,Subramanyapura, 30000 ,1000 ,Semi-Furnished,2 bathrooms
4 BHK Apartment in Ezzy Corinth,Kuvempu Layout on Hennur Main Road, 1.1 L,4300 ,Semi-Furnished,4 bathrooms
4 BHK Apartment in Adarsh Palm Retreat Mayberry Phase 1,Bellandur, 2 L,3890 ,Semi-Furnished,4 bathrooms
3 BHK Apartment in Shriram Smrithi,Attibele, 20000 ,1150 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Prestige Garden Bay,Yelahanka, 35000 ,1700 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in Adarsh Palm Retreat Mayberry Phase 1,Bellandur, 2 L,3800 ,Semi-Furnished,4 bathrooms
2 BHK Apartment,Krishnarajapura, 30000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,BTM Layout 2nd Stage, 25000 ,1600 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Mantri Elite,JP Nagar Phase 4, 48000 ,1700 ,Furnished,2 bathrooms
2 BHK Independent Floor,BTM Layout 2nd Stage, 18500 ,1250 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,BTM Layout 2nd Stage, 28000 ,1500 ,Semi-Furnished,3 bathrooms
3 BHK Independent Floor,Bilekahalli, 26000 ,1650 ,Furnished,2 bathrooms
1 BHK Independent Floor,BTM Layout, 15000 ,700 ,Furnished,1 bathrooms
3 BHK Independent Floor,Bommanahalli, 26000 ,1600 ,Furnished,2 bathrooms
4 BHK Independent Floor,Bommanahalli, 44000 ,2350 ,Semi-Furnished,5 bathrooms
4 BHK Villa in Good Malhar Terraces,Kumbalgodu, 72000 ,3200 ,Semi-Furnished,4 bathrooms
4 BHK Apartment,Hulimavu, 60000 ,1750 ,Furnished,4 bathrooms
3 BHK Independent Floor,Armane Nagar, 50000 ,1950 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in Pushpam Woods,Sarjapur, 80000 ,4600 ,Furnished,4 bathrooms
2 BHK Apartment in Sterling Residency,RMV, 28000 ,1150 ,Furnished,2 bathrooms
2 BHK Apartment in Mantri Lithos,Thanisandra, 35000 ,1300 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Prestige Royale Gardens,Yelahanka, 30000 ,1050 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Prestige Royale Gardens,Yelahanka, 30000 ,1050 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Puravankara Palm Beach,Narayanapura on Hennur Main Road, 36000 ,1350 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Reputed Builder Shinde Jierra,Hebbal, 25000 ,1050 ,Furnished,2 bathrooms
3 BHK Apartment in NCC Nagarjun Meadows II,Yelahanka, 33003 ,2000 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in L And T L&T Raintree Boulevard,Sahakar Nagar, 38000 ,1300 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Mantri Lithos,Thanisandra, 40000 ,2000 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,R.K. Hegde Nagar, 24000 ,1288 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Fortuna Icon,Sahakar Nagar, 26000 ,1500 ,Furnished,3 bathrooms
2 BHK Apartment in Mantri Lithos,Thanisandra, 32000 ,1450 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in ELV Kingsland,Whitefield Hope Farm Junction, 28000 ,1250 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Reputed Builder Vars Silver Springs,Mahadevapura, 20000 ,1185 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,RR Nagar, 12500 ,1600 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Mantri Lithos,Thanisandra, 37000 ,1350 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,J. P. Nagar, 12000 ,1200 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Kammanahalli, 15000 ,1300 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Mithuna Mithuna White Aspera,Yelahanka, 30000 ,1872 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,BTM Layout, 13000 ,700 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Prestige Kew Gardens,Bellandur, 50003 ,1650 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Prestige Kew Gardens,Bellandur, 50003 ,1650 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,Vijayanagar, 45000 ,2150 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Nagarbhavi, 20000 ,1150 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Vijayanagar, 34000 ,1650 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,RR Nagar, 27000 ,1700 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Vijayanagar, 35000 ,1500 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,Attiguppe, 30000 ,1350 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,Vijayanagar, 32000 ,1550 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,Mallathahalli, 25000 ,1800 ,Semi-Furnished,3 bathrooms
2 BHK Apartment,Attiguppe, 23000 ,1350 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Nagarbhavi, 20000 ,1150 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Nagarbhavi, 22000 ,1250 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Nagarbhavi, 18000 ,1050 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Mallathahalli, 20000 ,1250 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Nagarbhavi, 18000 ,1350 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Nagarbhavi, 19000 ,1200 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,Nagarbhavi, 32000 ,1580 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Brigade Parkside East,Sarjapur Road Wipro To Railway Crossing, 34000 ,1300 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Thavarekere, 25085 ,1300 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Mantri Serenity,Subramanyapura, 38000 ,950 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Attiguppe, 23000 ,1350 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Vijayanagar, 45000 ,2150 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor,Nagarbhavi, 20000 ,1150 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Vijayanagar, 34000 ,1650 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,RR Nagar, 27000 ,1700 ,Semi-Furnished,2 bathrooms
3 BHK Independent Floor,Vijayanagar, 35000 ,1500 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Koramangala, 15000 ,800 ,Semi-Furnished,1 bathrooms
3 BHK Independent Floor,Harlur, 30000 ,1200 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Vaswani Tranquil,Marathahalli, 35000 ,1900 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Deccan Fields Apartments,Brookefield, 29000 ,1550 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Sterling Brookside,Brookefield, 32000 ,1850 ,Furnished,3 bathrooms
2 BHK Apartment in Sunshine Silicon Citi,Whitefield Hope Farm Junction, 32000 ,1200 ,Semi-Furnished,2 bathrooms
4 BHK Villa in Prestige Ozone,Varthur, 1 L,3100 ,Semi-Furnished,4 bathrooms
3 BHK Apartment in Gomati Mahaveer Willet,Kadugodi, 28000 ,1200 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in JJC Lake Vihar II,Ramamurthy Nagar, 30000 ,1350 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in BM Harvest,Sarjapur, 15000 ,2000 ,Semi-Furnished,2 bathrooms
4 BHK Apartment in Bhartiya Nikoo Homes 2,Kannur on Thanisandra Main Road, 35000 ,2080 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Prestige Royale Gardens,Yelahanka, 45002 ,1350 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in L And T L&T Raintree Boulevard,Sahakar Nagar, 75000 ,3200 ,Furnished,4 bathrooms
2 BHK Apartment in Mantri Serenity,Subramanyapura, 38000 ,950 ,Semi-Furnished,2 bathrooms
1 BHK Apartment in Prestige Norwood at Sunrise Park,Electronic City Phase 1, 22000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Mantri Serenity,Subramanyapura, 55000 ,2815 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Mantri Lithos,Thanisandra, 40000 ,1700 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in L And T L&T Raintree Boulevard,Sahakar Nagar, 38000 ,1300 ,Semi-Furnished,3 bathrooms
2 BHK Apartment,Krishnarajapura, 26000 ,1350 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Ram Sai Ram Residency,Krishnarajapura, 28000 ,1250 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Sai Teja Daffodils,Pai Layout, 31000 ,1980 ,Semi-Furnished,3 bathrooms
2 BHK Independent Floor in Estella Gracious,Begur, 12000 ,1000 ,Semi-Furnished,1 bathrooms
3 BHK Independent House,byatarayanapura, 25000 ,1800 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Gopalan Casa Gopalan,Whitefield Hope Farm Junction, 30000 ,1400 ,Semi-Furnished,2 bathrooms
4 BHK Apartment in Prestige Acropolis,Adugodi, 1.35 L,3200 ,Semi-Furnished,4 bathrooms
3 BHK Apartment in Sobha City,Narayanapura on Hennur Main Road, 36000 ,1500 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Sobha Chrysanthemum,Narayanapura on Hennur Main Road, 28000 ,1790 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in NCC Nagarjuna Serene,Marathahalli, 37000 ,1900 ,Semi-Furnished,3 bathrooms
2 BHK Apartment,Hennur, 30000 ,1225 ,Semi-Furnished,2 bathrooms
3 BHK Apartment,Indira Nagar, 50000 ,1975 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Candeur Landmark,Varthur, 30000 ,1100 ,Furnished,2 bathrooms
2 BHK Apartment in Bhartiya Nikoo Homes,Kannur on Thanisandra Main Road, 20000 ,1185 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Provident Harmony,Jakkur, 24000 ,1288 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,Hennur, 42000 ,1800 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in Bhartiya Nikoo Homes 2,Kannur on Thanisandra Main Road, 60000 ,3000 ,Semi-Furnished,4 bathrooms
3 BHK Independent Floor,Shanti Nagar, 25000 ,1500 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Pavani Chandana,Electronic City Phase 2, 25000 ,1350 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in DS Max DS Max Sky Scape,Anagalapura Near Hennur Main Road, 34000 ,1700 ,Furnished,3 bathrooms
3 BHK Apartment in Puravankara Palm Beach,Narayanapura on Hennur Main Road, 40000 ,1450 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in AWHO Sandeep Vihar,Kannamangala, 60000 ,4100 ,Semi-Furnished,4 bathrooms
4 BHK Apartment in Phoenix One Bangalore West,Rajajinagar, 1.8 L,3400 ,Semi-Furnished,3 bathrooms
4 BHK Apartment in Sattva Kings Domain,CV Raman Nagar, 2 L,3100 ,Semi-Furnished,4 bathrooms
4 BHK Villa in Chaithanya Samarpan Villa,Kannamangala, 90000 ,3100 ,Semi-Furnished,4 bathrooms
4 BHK Apartment in Prestige White Meadows,Whitefield Hope Farm Junction, 1.5 L,4100 ,Semi-Furnished,4 bathrooms
4 BHK Apartment in L And T L&T Raintree Boulevard,Sahakar Nagar, 75000 ,3200 ,Furnished,4 bathrooms
4 BHK Apartment in L And T L&T Raintree Boulevard,Sahakar Nagar, 50000 ,1958 ,Semi-Furnished,3 bathrooms
3 BHK Apartment,Hennur, 40000 ,1550 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Provident Harmony,Jakkur, 24003 ,1288 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Prestige Falcon City,Konanakunte, 35000 ,1580 ,Furnished,3 bathrooms
3 BHK Apartment in Ajmera Green Acres,Gottigere, 32000 ,1500 ,Furnished,3 bathrooms
4 BHK Apartment in Prestige Falcon City,Konanakunte, 57000 ,2710 ,Semi-Furnished,6 bathrooms
3 BHK Apartment in Ajmera Green Acres,Gottigere, 32000 ,1500 ,Furnished,3 bathrooms
3 BHK Apartment in RMZ Galleria,Yelahanka, 60000 ,1910 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in RMZ Galleria,Yelahanka, 40000 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,R.K. Hegde Nagar, 7000 ,400 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Horamavu, 25000 ,1400 ,Semi-Furnished,2 bathrooms
3 BHK Apartment in Astro Rosewood Regency,Sarjapur Road Till Wipro, 70000 ,2200 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Prestige Jade Pavilion,Bellandur, 75000 ,1950 ,Semi-Furnished,3 bathrooms
3 BHK Apartment in Bhartiya Nikoo Homes 2,Kannur on Thanisandra Main Road, 46000 ,1600 ,Semi-Furnished,2 bathrooms
4 BHK Independent House,HSR Layout, 75000 ,2400 ,Semi-Furnished,4 bathrooms
2 BHK Independent Floor,Sarjapur, 15400 ,850 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Mahadevapura, 33000 ,1050 ,Furnished,2 bathrooms
2 BHK Apartment,Mahadevapura, 26000 ,1050 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Annapurneshwari Nagar, 16000 ,1100 ,Semi-Furnished,2 bathrooms
2 BHK Apartment in Vishnu Vishnu Enclave,Marathahalli, 35000 ,1234 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Bharat Nagar, 20000 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Koramangala, 15500 ,560 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Koramangala, 19000 ,530 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Koramangala, 11000 ,480 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Banaswadi, 36000 ,1800 ,Semi-Furnished,3 bathrooms
2 BHK Apartment in Mantri Greens,Seshadripuram, 39000 ,1420 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Azad Nagar, 27000 ,1400 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Sarjapur, 15400 ,850 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Koramangala, 18000 ,580 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Cooke Town, 21000 ,1300 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 22500 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Kammanahalli, 11000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Kammanahalli, 15500 ,700 ,Furnished,1 bathrooms
3 BHK Apartment in Artha Reviera,Marsur, 50000 ,1780 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Kasturi Nagar, 12000 ,850 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Kasturi Nagar, 23000 ,1250 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Electronic City Phase II, 7000 ,470 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,J. P. Nagar, 15500 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,HSR Layout, 17000 ,650 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Devarachikkana Halli, 9000 ,550 ,Semi-Furnished,1 bathrooms
4 BHK Apartment,HSR Layout, 1.2 L,4000 ,Semi-Furnished,4 bathrooms
2 BHK Independent Floor,Koramangala, 15000 ,750 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Murugeshpalya, 13000 ,485 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Koramangala, 20000 ,375 ,Furnished,1 bathrooms
2 BHK Independent Floor,Annapurneshwari Nagar, 18000 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,BTM Layout, 16500 ,500 ,Furnished,1 bathrooms
3 BHK Apartment in Prestige Sunnyside,Bellandur, 70000 ,1950 ,Semi-Furnished,3 bathrooms
1 BHK Independent Floor,HSR Layout, 18000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Nandi Deepa,Hulimavu, 24000 ,1300 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 20500 ,1200 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Kammanahalli, 8500 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Cooke Town, 20000 ,1300 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 23000 ,1100 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Kammanahalli, 14000 ,900 ,Furnished,1 bathrooms
2 BHK Independent Floor,Cooke Town, 15000 ,1000 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Cooke Town, 12000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Cooke Town, 24000 ,1200 ,Semi-Furnished,2 bathrooms
1 BHK Independent Floor,Kammanahalli, 9000 ,600 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Cooke Town, 24000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 24000 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 21000 ,1300 ,Semi-Furnished,2 bathrooms
2 BHK Apartment,Cooke Town, 22500 ,1200 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor,Kammanahalli, 11000 ,600 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Kammanahalli, 15500 ,700 ,Furnished,1 bathrooms
3 BHK Apartment in Artha Reviera,Marsur, 50000 ,1780 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Kasturi Nagar, 12000 ,850 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Kasturi Nagar, 23000 ,1250 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Electronic City Phase II, 7000 ,470 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,J. P. Nagar, 15500 ,1100 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Kammanahalli, 15500 ,700 ,Furnished,1 bathrooms
3 BHK Apartment in Artha Reviera,Marsur, 50000 ,1780 ,Semi-Furnished,3 bathrooms
1 BHK Apartment,Kasturi Nagar, 12000 ,850 ,Semi-Furnished,1 bathrooms
2 BHK Apartment,Kasturi Nagar, 23000 ,1250 ,Semi-Furnished,2 bathrooms
